id|match|num|home_p1|home_p2|away_p1|away_p2|home_g1_score|away_g1_score|home_g2_score|away_g2_score|home_g3_score|away_g3_score|
445|331|4|160|537|243|254|0|21|0|21|0|0
446|331|5|426|427|-1|-1|21|0|21|0|0|0
447|331|6|168|165|264|252|22|20|19|21|21|18
448|331|7|160|537|-1|-1|21|0|21|0|0|0
449|331|8|168|165|243|254|21|11|21|12|0|0
450|331|9|426|427|264|252|20|22|18|21|0|0
451|263|1|193|589|353|347|21|17|21|18|0|0
452|263|2|198|594|344|359|21|11|21|6|0|0
453|263|3|587|588|338|358|11|21|17|21|0|0
454|263|4|198|594|353|347|24|22|23|21|0|0
455|263|5|193|589|338|358|20|22|24|26|0|0
456|263|6|587|588|344|359|21|11|21|13|0|0
457|263|7|198|594|338|358|19|21|17|21|0|0
458|263|8|587|588|353|347|23|21|21|12|0|0
459|263|9|193|589|344|359|21|19|21|14|0|0
460|1|1|119|117|297|299|8|21|4|21|0|0
461|1|2|125|103|296|308|18|21|14|21|0|0
462|1|3|115|114|293|302|21|23|11|21|0|0
463|1|4|125|103|297|299|7|21|10|21|0|0
464|1|5|119|117|293|302|11|21|13|21|0|0
465|1|6|115|114|296|308|7|21|12|21|0|0
466|1|7|125|103|293|302|6|21|11|21|0|0
467|1|8|115|114|297|299|12|21|9|21|0|0
468|1|9|119|117|296|308|17|21|4|21|0|0
469|285|1|146|135|144|133|21|16|20|22|21|8
470|285|2|140|134|143|145|21|13|21|13|0|0
471|285|3|139|138|580|136|15|21|21|18|21|18
472|285|4|140|134|144|133|21|10|16|21|21|9
473|285|5|146|135|580|136|21|16|21|10|0|0
474|285|6|139|138|143|145|21|10|21|15|0|0
475|285|7|140|134|580|136|18|21|22|20|21|19
476|285|8|139|138|144|133|21|15|21|15|0|0
477|285|9|146|135|143|145|21|19|21|10|0|0
487|287|1|146|135|228|220|14|21|17|21|0|0
488|287|2|139|138|233|221|21|12|21|15|0|0
489|287|3|140|134|531|237|21|9|21|11|0|0
490|287|4|139|138|228|220|17|21|18|21|0|0
491|287|5|146|135|531|237|21|8|21|7|0|0
492|287|6|140|134|233|221|21|14|21|18|0|0
493|287|7|139|138|531|237|21|10|21|15|0|0
494|287|8|140|134|228|220|18|21|13|21|0|0
495|287|9|146|135|233|221|18|21|21|18|21|12
496|365|1|16|17|39|42|21|18|23|21|0|0
497|365|2|18|23|44|49|21|18|21|9|0|0
498|365|3|15|20|21|19|21|18|21|17|0|0
499|365|4|18|23|39|42|21|10|23|25|21|15
500|365|5|16|17|21|19|19|21|17|21|0|0
501|365|6|15|20|44|49|21|14|21|15|0|0
502|365|7|18|23|21|19|17|21|21|15|22|20
503|365|8|15|20|39|42|21|17|21|16|0|0
504|365|9|16|17|44|49|21|15|23|25|21|13
505|372|1|39|42|23|18|14|21|14|21|0|0
506|372|2|19|44|15|20|12|21|14|21|0|0
507|372|3|40|421|17|48|19|21|18|21|0|0
508|372|4|19|44|23|18|21|12|15|21|18|21
509|372|5|39|42|17|48|17|21|18|21|0|0
510|372|6|40|421|15|20|16|21|11|21|0|0
511|372|7|19|44|17|48|14|21|15|21|0|0
512|372|8|40|421|23|18|14|21|19|21|0|0
513|372|9|39|42|15|20|18|21|11|21|0|0
523|118|1|454|280|469|481|17|21|21|18|13|21
524|118|2|504|513|444|470|16|21|22|20|21|14
525|118|3|285|509|477|474|21|7|21|18|0|0
526|118|4|504|513|469|481|15|21|15|21|0|0
527|118|5|454|280|477|474|21|19|21|19|0|0
528|118|6|285|509|444|470|21|14|17|21|12|21
529|118|7|504|513|477|474|10|21|21|13|19|21
530|118|8|285|509|469|481|29|27|21|12|0|0
531|118|9|454|280|444|470|17|21|21|14|17|21
541|337|1|164|162|18|23|21|19|21|15|0|0
542|337|2|176|179|16|39|21|19|10|21|12|21
543|337|3|188|163|19|21|15|21|21|9|23|25
544|337|4|176|179|18|23|13|21|21|15|9|21
545|337|5|164|162|19|21|21|9|21|12|0|0
2508|71|1|419|101|228|496|21|16|21|12|0|0
2509|71|2|577|111|233|219|21|17|17|21|17|21
2510|71|3|679|113|230|237|21|19|21|18|0|0
2511|71|4|577|111|228|496|21|17|21|16|0|0
2512|71|5|419|101|230|237|13|21|21|14|21|16
2513|71|6|679|113|233|219|21|14|21|13|0|0
2514|71|7|577|111|230|237|18|21|21|18|20|22
2515|71|8|679|113|228|496|21|19|21|12|0|0
2516|71|9|419|101|233|219|21|7|21|16|0|0
546|337|6|188|163|16|39|10|21|13|21|0|0
